ChanNAdcConfig: type=userdata, tostring=userdata: 095E2DF8
LPModConfig: type=userdata, tostring=userdata: 095C5FC0
RfInit: type=userdata, tostring=userdata: 095EC090
DataPathConfig: type=userdata, tostring=userdata: 095EB028
LvdsClkConfig: type=userdata, tostring=userdata: 095E2D30
LVDSLaneConfig: type=userdata, tostring=userdata: 095E2BC8
ProfileConfig: type=userdata, tostring=userdata: 095EA768
ChirpConfig: type=userdata, tostring=userdata: 095C6538
FrameConfig: type=userdata, tostring=userdata: 095FA3A0
StartFrame: type=userdata, tostring=userdata: 095DD148
StopFrame: type=userdata, tostring=userdata: 095DD440
SensorStart: type=nil, tostring=nil
SensorStop: type=nil, tostring=nil
CaptureCardConfig_EthInit: type=userdata, tostring=userdata: 09590A28
CaptureCardConfig_Mode: type=userdata, tostring=userdata: 09595F88
CaptureCardConfig_PacketDelay: type=userdata, tostring=userdata: 095AA3A0
CaptureCardConfig_StartRecord: type=userdata, tostring=userdata: 0959CA48
CaptureCardConfig_StopRecord: type=userdata, tostring=userdata: 09594C88
SetDataConfig: type=nil, tostring=nil
GetDataConfig: type=nil, tostring=nil
